street_address,city,postal_code,latitude,longitude
481 Boulevard Saint-Joseph Ouest,Drummondville,J2E 1K8,45.9048908156412,-72.5352202323648
42 1re Avenue Ouest,Rouyn-Noranda,J0Y 1C0,48.2237416652414,-78.3901452860166
539 Rue des Narcisses,Laval,H7X 3Z1,45.5315597434182,-73.81814645363573
5420 Rue de Lisieux,Trois-Rivières,G8Y 5C5,46.34523862568219,-72.59949506774635
129 Rue Jean-Talon,Sherbrooke,J1G 3B3,45.4059630852603,-71.8625232072078
4377 Rue des Guérets,Québec,G1Y 2L5,46.7543181374097,-71.36225302108988
690 Rue des Bernaches,Trois-Rivières,G9B 2S6,46.28870705595727,-72.63910707599318
5785 Avenue Northmount,Montréal,H3S 2H4,45.50582850447216,-73.6238414937044
1570 Rue Papineau,Longueuil,J4K 3L3,45.515353517578,-73.4968390191282
9633 Boulevard des Hêtres,Shawinigan,G9N 4Y2,46.59381496870079,-72.70923556849368
11 Rue de la Promenade,Victoriaville,G6P 9S3,46.0435434786747,-72.0123326978174
1700 Avenue de la Capricieuse,Québec,G1J 3W3,46.83439940016427,-71.22542802750104
142 Boulevard du Mont-Bleu,Gatineau,J8Z 1K1,45.46158997793989,-75.75849802310944
1415 Rue Labrie,Longueuil,J4G 2K1,45.560749669198,-73.4883945306297
8605 Boulevard Saint-Michel,Montréal,H1Z 4H2,45.56811293015414,-73.61839708155985
775 3e Avenue,Val-d'Or,J9P 1S8,48.10209583699996,-77.78715642266111
516 Rue Belvédère Sud,Sherbrooke,J1H 4B5,45.3958491772115,-71.8947528363719
1049 Chemin des Chênes,Rouyn-Noranda,J0Z 2X0,48.1252586896114,-79.2747771467473
1681 Rue des Mésanges,Saguenay,G7H 6S6,48.3980469513703,-71.0478116439167
7040 Rue de Lisieux,Montréal,H1S 2G2,45.57755026780997,-73.57835445184146
3650 52e Avenue (P.-a.-T.),Montréal,H1A 0A7,45.6716171334136,-73.509767757624
214 Rue Saint-Edmond,Rimouski,G5L 3J9,48.4497980976204,-68.5235965776527
1910 Avenue Clinton,Montréal,H3S 1L1,45.51411702220228,-73.62341583961837
795 Rue Muir,Montréal,H4L 5H8,45.5222017195779,-73.6693047659003
8274 Rue Courval,Montréal,H1P 2E3,45.59573850653931,-73.58709578128055
773 3e Avenue,Val-d'Or,J9P 1S8,48.10209583699996,-77.78715642266111
7600 Boulevard Payer,Longueuil,J3Z 1J9,45.4643843436015,-73.407301007598
521 Rue de la Garde,Québec,G2A 2L7,46.86593882614333,-71.37501758898219
2409 Rue de l'Hortensia,Terrebonne,J7M 1L7,45.7697559438247,-73.7270594581673
6565 Rue Marion,Trois-Rivières,G9A 6J5,46.32053183648068,-72.5790013474162
2908 Rue Saguenay,Rouyn-Noranda,J9X 2H4,48.28451460370209,-79.0354660102691
3616 Chemin de la Rivière-aux-Sables,Saguenay,G7X 7V6,48.3498553409236,-71.3330847391779
1322 Rue de Dolbeau,Gatineau,J8R 2V1,45.52750812600522,-75.63619125707368
27 Rue de Mandelieu,Gatineau,J8T 7Z4,45.49032857361662,-75.72846185101253
560 Boulevard Jacques-Cartier Nord,Sherbrooke,J1J 3A4,45.4071952799321,-71.9182011458609
1680 Chemin des Pluviers,Lévis,G7A 3R3,46.7229461000436,-71.3369491915782
7648 Rue De La Roche,Montréal,H2R 2T5,45.54614797076619,-73.618517574203
9910 Boulevard Gouin Est,Montréal,H1C 2H2,45.6611274840149,-73.5644310694748
5047 Avenue Christophe-Colomb,Montréal,H2J 3H1,45.530916467209,-73.58486487338922
3482 Rue Saint-Germain (Montréal),Montréal,H1W 2V5,45.54483540474562,-73.55831317656349
900 Rue Chassé,Drummondville,J2C 4G4,45.87528050786882,-72.50691514938752
256 Rue de Bellechasse,Repentigny,J6A 7X3,45.76459749530954,-73.4491793451302
607 Rue de Nantes,Québec,G1X 1B4,46.78037017698781,-71.32211050482124
85 Rue Bowen Nord,Sherbrooke,J1E 3H5,45.4052867536278,-71.8865180930251
186 Rue de Belleville,Saguenay,G7G 5C6,48.44082166232,-71.0459247721992
6633 Rue Beaulieu,Montréal,H4E 3G2,45.45216348776196,-73.59499924850954
407 Rue du Charbonnier,Trois-Rivières,G8T 6S4,46.37667504526652,-72.53738835759322
100 Rue Édouard,Victoriaville,G6P 3H7,46.0555192131263,-71.9706324522621
603 Rue Saint-Jacques,Granby,J2G 3P6,45.39884033678614,-72.74360342934862
31 Rue de Fleurimont,Gatineau,J8V 2N7,45.51787909050792,-75.73896087077586
4010 Boulevard Guillaume-Couture,Lévis,G6W 0X3,46.77558881030778,-71.1956815667168
5600 5e Rang,Saint-Hyacinthe,J2R 2A4,45.62475863655698,-72.8643123411381
9 Rue Notre-Dame Est,Victoriaville,G6P 3Z4,46.0554575578143,-71.9587854628153
825 Rue Plante,Laval,H7E 3B9,45.59932255638196,-73.66666678174431
1660 Rue Marie-Claire,Montréal,H8N 1S1,45.42888629255526,-73.62972130637218
120 46e Rue Est,Québec,G1H 2P4,46.84482623189488,-71.25054618652239
649 Boulevard des Bois-Francs Sud,Victoriaville,G6P 5X1,46.0467462036442,-71.9311126998938
4295 Rang Saint-Martin,Saguenay,G7H 5A7,48.4270614828678,-70.9363565327994
6088 Rue La Fontaine (Montréal),Montréal,H1N 2B9,45.57070015594653,-73.52467074544761
58 Rue Elgin,Granby,J2G 4V3,45.40082604140774,-72.71853415893348
240 Rue Meunier,Trois-Rivières,G9A 5X6,46.32205580034962,-72.56349008018363
689 Boulevard du Rivage,Rimouski,G5L 1H1,48.4838673136534,-68.4980089807322
120 Rue Fabi,Sherbrooke,J1E 2B2,45.4065499366137,-71.88584680651
4269 Chemin Blanchette,Val-d'Or,J9P 0B9,48.16363226780783,-77.85224119977795
3080 Rue Saint-Victor,Laval,H7E 2M3,45.5893427058521,-73.66160815345067
173 Rue De La Salle,Québec,G1K 2T2,46.81374487607953,-71.22950059642308
3473 Rue Ontario Est,Montréal,H1W 1R4,45.54404048932516,-73.5458904796906
